Column,Column_Label,Column_Alias,Column_Dtype,Value_Range,Value_PreRepl,Value_PreFill,Is_Use
ID,家庭受访者个人ID(12位数字),,Str,,,,True
householdID,受访家庭ID(10位数字),,Str,,,,True
communityID,受访社区ID(7位数字),,Str,,,,True
childID,子女ID(2位数字),,Str,,,,True
alive,子女是否健在,kalive,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '0 Died':'No'}",,True
cat,子女的血缘类型,kblood,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{'1 Biological of You and Your Current Spouse':'Both biological','2 Biological of You, but not Current Spouse':'FamR biological','3 Biological of Current Spouse, but not You':'Spouse biological','4 Adopted or Foster':'Adopted/Foster','0 Not My Child':'Not our child'}",,True
age,子女的年龄(原始),kage_raw,Int,"(0,100)",,,True
cb051_1,子女的出生年份(原始),kbyear_raw,Int,"(1920,2013)",,,True
gender,子女的性别,kgender,Cat,"{0:'Male',1:'Female'}","{'1 Male':'Male', '2 Female':'Female'}",,True
cb053,子女的居住类型(与家庭受访者距离),klivedis,Cat,"{0:'Same house',1:'Another house but the same block',2:'Another block but the same country',3:'Another country'}","{'1 This Household, and Economicly Dependent':'Same house', '2 This Household, but Economicly Independent':'Same house', '3 Same or Adjacent Dwelling/Courtyard with You':'Another house but the same block',""4 Another Household in Your Permanent Address's Village/Neighborhood"":'Another block but the same country',  ""5 Another Village/Neighborhood in Your Permanent Address's County/City/District"":'Another block but the same country','6 Other':'Another block but the same country','7 Abroad':'Another country'}",,True
cb054,子女的居住类型(城乡),kliveur,Cat,"{0:'Urban',1:'Rural'}","{'1 City':'Urban', '2 County':'Urban', '3 Town':'Rural', '4 Village':'Rural'}",,True
cb055,子女的户口类型(4分类),khukou,Cat,"{0:'Agricultural hukou',1:'Non-agricultural hukou',2:'Unified residency hukou',3:'Do not have hukou'}","{'1 Agriculture Hukou':'Agricultural hukou', '2 Non-agriculture Hukou':'Non-agricultural hukou','3 Unified Residency Hukou':'Unified residency hukou', ""4 Doesn't Have Hukou"":'Do not have hukou'}",,True
cb058,子女是否正在上学,kschool,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes', '2 No':'No'}",,True
cb060,子女的受教育程度(10分类),keduc10,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 Illiterate':'No formal education illiterate', '2 Can Read/Write':'Did not finish primary school but capable of reading and/or writing', '3 Home School':'Sishu', '4 Primary School':'Elementary school', '5 Middle School':'Middle school',  '6 High School':'High school', '7 Vocational School':'Vocational school','8 Three-year College':'Two/Three Year College/Associate degree', '9 Four-year College':""Four Year College/Bachelor's degree"", '10 Master':'Post-graduated(Master/PhD)', '11 Phd':'Post-graduated(Master/PhD)'}",,True
cb063,子女的婚姻状况,kmstat,Cat,"{0:'Married',1:'Partnered',2:'Separated',3:'Divorced',4:'Widowed',5:'Never married'}","{'1 Married, Live with Spouse':'Married', '2 Married But not Living with Spouse':'Partnered','3 Separated':'Separated','4 Divorced':'Divorced','5 Widowed':'Widowed', '6 Never Married':'Never married', '7 Cohabitated':'Partnered'}",,True
cb065,子女的子女数,kkidn,Int,"(0,25)",,,True
cb066,子女的子女数(16岁以下),kkid16n,Int,"(0,25)",,,True
cb069,子女及其配偶的年收入类别(当年RMB),khinc,Cat,"{0:'0',1:'(0,2k)',2:'[2k,5k)',3:'[5k,10k)',4:'[10k,20k)',5:'[20k,50k)',6:'[50k,100k)' ,7:'[100k,150k)', 8:'[150k,200k)', 9:'[200k,300k)',10:'[300k,oo)'}","{'1 None':'0','2 (0 2000)':'(0,2k)','3 [2000 5000)':'[2k,5k)','4 [5000 10000)':'[5k,10k)','5 [10000 20000)':'[10k,20k)','6 [20000 50000)':'[20k,50k)','7 [50000 100000)':'[50k,100k)','8 [100000 150000)':'[100k,150k)','9 [150000 200000)':'[150k,200k)','10 [200000 300000)':'[200k,300k)','11 >=300000':'[300k,oo)'}",,True
cb070,子女是否正在工作,kwork,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes', '2 No':'No'}",,True
cb074,子女是否曾经工作过,kworkev,Cat,"{0:'No',1:'Yes'}","{'1 Yes':'Yes', '2 No':'No'}",,True
cb081,子女的出生地,k2bplace_c,Str,,,,True

