Column,Column_Label,Column_Alias,Column_Dtype,Value_Range,Value_PreRepl,Is_Use
ID,家庭受访者个人ID(12位数字),,Str,,,True
householdID,受访家庭ID(10位数字),,Str,,,True
communityID,受访社区ID(7位数字),,Str,,,True
xchildalive_1_,子女1是否健在,kalive_1,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_2_,子女2是否健在,kalive_2,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_3_,子女3是否健在,kalive_3,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_4_,子女4是否健在,kalive_4,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_5_,子女5是否健在,kalive_5,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_6_,子女6是否健在,kalive_6,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_7_,子女7是否健在,kalive_7,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_8_,子女8是否健在,kalive_8,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_9_,子女9是否健在,kalive_9,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_10_,子女10是否健在,kalive_10,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_11_,子女11是否健在,kalive_11,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_12_,子女12是否健在,kalive_12,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_13_,子女13是否健在,kalive_13,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_14_,子女14是否健在,kalive_14,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_15_,子女15是否健在,kalive_15,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildalive_16_,子女16是否健在,kalive_16,Cat,"{0:'No',1:'Yes'}","{'1 Alive':'Yes', '2 Dead':'No'}",True
xchildgender_1_,子女1的性别,kgender_1,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_2_,子女2的性别,kgender_2,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_3_,子女3的性别,kgender_3,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_4_,子女4的性别,kgender_4,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_5_,子女5的性别,kgender_5,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_6_,子女6的性别,kgender_6,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_7_,子女7的性别,kgender_7,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_8_,子女8的性别,kgender_8,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_9_,子女9的性别,kgender_9,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_10_,子女10的性别,kgender_10,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_11_,子女11的性别,kgender_11,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_12_,子女12的性别,kgender_12,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_13_,子女13的性别,kgender_13,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_14_,子女14的性别,kgender_14,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_15_,子女15的性别,kgender_15,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildgender_16_,子女16的性别,kgender_16,Cat,"{0:'Male',1:'Female'}","{'2 Female':'Female', '1 Male':'Male'}",True
xchildbirth_1_,子女1的出生年份,kbyear_1,Int,"(1920,2018)",,True
xchildbirth_2_,子女2的出生年份,kbyear_2,Int,"(1920,2018)",,True
xchildbirth_3_,子女3的出生年份,kbyear_3,Int,"(1920,2018)",,True
xchildbirth_4_,子女4的出生年份,kbyear_4,Int,"(1920,2018)",,True
xchildbirth_5_,子女5的出生年份,kbyear_5,Int,"(1920,2018)",,True
xchildbirth_6_,子女6的出生年份,kbyear_6,Int,"(1920,2018)",,True
xchildbirth_7_,子女7的出生年份,kbyear_7,Int,"(1920,2018)",,True
xchildbirth_8_,子女8的出生年份,kbyear_8,Int,"(1920,2018)",,True
xchildbirth_9_,子女9的出生年份,kbyear_9,Int,"(1920,2018)",,True
xchildbirth_10_,子女10的出生年份,kbyear_10,Int,"(1920,2018)",,True
xchildbirth_11_,子女11的出生年份,kbyear_11,Int,"(1920,2018)",,True
xchildbirth_12_,子女12的出生年份,kbyear_12,Int,"(1920,2018)",,True
xchildbirth_13_,子女13的出生年份,kbyear_13,Int,"(1920,2018)",,True
xchildbirth_14_,子女14的出生年份,kbyear_14,Int,"(1920,2018)",,True
xchildbirth_15_,子女15的出生年份,kbyear_15,Int,"(1920,2018)",,True
xchildbirth_16_,子女16的出生年份,kbyear_16,Int,"(1920,2018)",,True
xchildtype_1_,子女1的血缘类型,kblood_1,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_2_,子女2的血缘类型,kblood_2,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_3_,子女3的血缘类型,kblood_3,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_4_,子女4的血缘类型,kblood_4,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_5_,子女5的血缘类型,kblood_5,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_6_,子女6的血缘类型,kblood_6,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_7_,子女7的血缘类型,kblood_7,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_8_,子女8的血缘类型,kblood_8,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_9_,子女9的血缘类型,kblood_9,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_10_,子女10的血缘类型,kblood_10,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_11_,子女11的血缘类型,kblood_11,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_12_,子女12的血缘类型,kblood_12,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_13_,子女13的血缘类型,kblood_13,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
