Column,Column_Label,Column_Alias,Column_Dtype,Value_Range,Value_PreRepl,Value_PreFill,Is_Use
ID,受访者个人ID,,Str,,,,True
householdID,家庭ID,,Str,,,,True
communityID,社区ID,,Str,,,,True
s1id,受访者在第1轮(2011年)的配偶ID(11-12位数字),sid_2011,Int,"(1010410101, 34776331202)",,,True
s2id,受访者在第2轮(2013年)的配偶ID(11-12位数字),sid_2013,Int,"(1010410101, 347763311001)",,,True
s3id,受访者在第3轮(2015年)的配偶ID(11-12位数字),sid_2015,Int,"(1010410101, 347763315002)",,,True
s4id,受访者在第4轮(2018年)的配偶ID(11-12位数字),sid_2018,Int,"(1010410101, 347763319002)",,,True
inw1,受访者在第1轮(2011年)是否接受访问,hinw_2011,Cat,"{0:'No',1:'Yes'}","{'0.no':'No','1.yes':'Yes'}",,True
inw2,受访者在第2轮(2013年)是否接受访问,hinw_2013,Cat,"{0:'No',1:'Yes'}","{'0.no':'No','1.yes':'Yes'}",,True
inw3,受访者在第3轮(2015年)是否接受访问,hinw_2015,Cat,"{0:'No',1:'Yes'}","{'0.no':'No','1.yes':'Yes'}",,True
inw4,受访者在第4轮(2018年)是否接受访问,hinw_2018,Cat,"{0:'No',1:'Yes'}","{'0.no':'No','1.yes':'Yes'}",,True
h1cpl,受访者家庭在第1轮(2011年)是否双人受访,hcpl_2011,Cat,"{0:'No',1:'Yes'}","{'0.not coupled':'No','1.coupled':'Yes'}",,True
h2cpl,受访者家庭在第2轮(2013年)是否双人受访,hcpl_2013,Cat,"{0:'No',1:'Yes'}","{'0.not coupled':'No','1.coupled':'Yes'}",,True
h3cpl,受访者家庭在第3轮(2015年)是否双人受访,hcpl_2015,Cat,"{0:'No',1:'Yes'}","{'0.not coupled':'No','1.coupled':'Yes'}",,True
h4cpl,受访者家庭在第4轮(2018年)是否双人受访,hcpl_2018,Cat,"{0:'No',1:'Yes'}","{'0.not coupled':'No','1.coupled':'Yes'}",,True
r1famr,受访者在第1轮(2011年)是否是家庭受访者,rfamr_2011,Cat,"{0:'No',1:'Yes'}","{'0.no':'No','1.yes':'Yes'}",,True
r2famr,受访者在第2轮(2013年)是否是家庭受访者,rfamr_2013,Cat,"{0:'No',1:'Yes'}","{'0.no':'No','1.yes':'Yes'}",,True
r3famr,受访者在第3轮(2015年)是否是家庭受访者,rfamr_2015,Cat,"{0:'No',1:'Yes'}","{'0.no':'No','1.yes':'Yes'}",,True
r4famr,受访者在第4轮(2018年)是否是家庭受访者,rfamr_2018,Cat,"{0:'No',1:'Yes'}","{'0.no':'No','1.yes':'Yes'}",,True
rabyear,受访者的出生年份(报告),rbyear_rp,Int,"(1900,2000)","{'.x':'0','.m':'0','.d':'0','.i':'0','.r':'0'}",,True
s1byear,受访者2011年配偶的出生年份(报告),sbyear_rp_2011,Int,"(1900,2000)","{'.u':'0','.m':'0','.r':'0','.v':'0','.x':'0','.d':'0','.i':'0'}",,True
s2byear,受访者2013年配偶的出生年份(报告),sbyear_rp_2013,Int,"(1900,2000)","{'.u':'0','.m':'0','.r':'0','.v':'0','.x':'0','.d':'0','.i':'0'}",,True
s3byear,受访者2015年配偶的出生年份(报告),sbyear_rp_2015,Int,"(1900,2000)","{'.u':'0','.m':'0','.r':'0','.v':'0','.x':'0','.d':'0','.i':'0'}",,True
s4byear,受访者2018年配偶的出生年份(报告),sbyear_rp_2018,Int,"(1900,2000)","{'.u':'0','.m':'0','.r':'0','.v':'0','.x':'0','.d':'0','.i':'0'}",,True
raidbyear,受访者的出生年份(身份证),rbyear_id,Int,"(1900,2000)","{'.q':'0','.m':'0','.i':'0'}",,True
s1idbyear,受访者2011年配偶的出生年份(身份证),sbyear_id_2011,Int,"(1900,2000)","{'.u':'0','.q':'0','.m':'0','.v':'0','.i':'0'}",,True
s2idbyear,受访者2013年配偶的出生年份(身份证),sbyear_id_2013,Int,"(1900,2000)","{'.u':'0','.q':'0','.m':'0','.v':'0','.i':'0'}",,True
s3idbyear,受访者2015年配偶的出生年份(身份证),sbyear_id_2015,Int,"(1900,2000)","{'.u':'0','.q':'0','.m':'0','.v':'0','.i':'0'}",,True
s4idbyear,受访者2018年配偶的出生年份(身份证),sbyear_id_2018,Int,"(1900,2000)","{'.u':'0','.q':'0','.m':'0','.v':'0','.i':'0'}",,True
ragender,受访者的性别,rgender,Cat,"{0:'Male',1:'Female'}","{'2.woman':'Female', '1.man':'Male'}",,True
s1gender,受访者2011年配偶的性别,sgender_2011,Cat,"{0:'Male',1:'Female'}","{'2.woman':'Female', '1.man':'Male'}",,True
s2gender,受访者2013年配偶的性别,sgender_2013,Cat,"{0:'Male',1:'Female'}","{'2.woman':'Female', '1.man':'Male'}",,True
s3gender,受访者2015年配偶的性别,sgender_2015,Cat,"{0:'Male',1:'Female'}","{'2.woman':'Female', '1.man':'Male'}",,True
s4gender,受访者2018年配偶的性别,sgender_2018,Cat,"{0:'Male',1:'Female'}","{'2.woman':'Female', '1.man':'Male'}",,True
raeduc_c,受访者的受教育程度(10分类),reduc10,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)',}","{'1.No formal education illiterate':'No formal education illiterate', '2.Did not finish primary school but capable of reading and/or writing':'Did not finish primary school but capable of reading and/or writing',  '3.Sishu':'Sishu','4.Elementary school':'Elementary school','5.Middle school':'Middle school','6.High school':'High school','7.Vocational school':'Vocational school','8.Two/Three Year College/Associate degree':'Two/Three Year College/Associate degree',""9.Four Year College/Bachelor's degree"":""Four Year College/Bachelor's degree"",'10.Post-graduated(Master/PhD)':'Post-graduated(Master/PhD)',}",,True
